Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,4.625000,4.625000,4.625000,4.625000,0.360381,99200
1973-02-22,4.640625,4.640625,4.640625,4.640625,0.361599,47200
1973-02-23,4.625000,4.625000,4.625000,4.625000,0.360381,133600
1973-02-26,4.625000,4.625000,4.625000,4.625000,0.360381,24000
1973-02-27,4.625000,4.625000,4.625000,4.625000,0.360381,41600
1973-02-28,4.625000,4.625000,4.625000,4.625000,0.360381,66400
1973-03-01,4.656250,4.656250,4.656250,4.656250,0.362817,93600
1973-03-02,4.671875,4.671875,4.671875,4.671875,0.364034,26400
1973-03-05,4.734375,4.734375,4.734375,4.734375,0.368904,68000
1973-03-06,4.875000,4.875000,4.875000,4.875000,0.379862,76800
1973-03-07,4.875000,4.875000,4.875000,4.875000,0.379862,51200
1973-03-08,4.906250,4.906250,4.906250,4.906250,0.382297,84800
1973-03-09,4.906250,4.906250,4.906250,4.906250,0.382297,78400
1973-03-12,4.890625,4.890625,4.890625,4.890625,0.381079,73600
1973-03-13,4.906250,4.906250,4.906250,4.906250,0.382297,47200
1973-03-14,4.921875,4.921875,4.921875,4.921875,0.383514,50400
1973-03-15,4.906250,4.906250,4.906250,4.906250,0.382297,70400
1973-03-16,4.890625,4.890625,4.890625,4.890625,0.381079,44800
1973-03-19,4.843750,4.843750,4.843750,4.843750,0.377426,28000
1973-03-20,4.750000,4.750000,4.750000,4.750000,0.370122,68800
1973-03-21,4.687500,4.687500,4.687500,4.687500,0.365251,94400
1973-03-22,4.609375,4.609375,4.609375,4.609375,0.359164,55200
1973-03-23,4.609375,4.609375,4.609375,4.609375,0.359164,117600
1973-03-26,4.593750,4.593750,4.593750,4.593750,0.357946,9600
1973-03-27,4.593750,4.593750,4.593750,4.593750,0.357946,15200
1973-03-28,4.656250,4.656250,4.656250,4.656250,0.362817,141600
1973-03-29,4.718750,4.718750,4.718750,4.718750,0.367686,120000
1973-03-30,4.718750,4.718750,4.718750,4.718750,0.367686,85600
1973-04-02,4.687500,4.687500,4.687500,4.687500,0.365251,52800
1973-04-03,4.656250,4.656250,4.656250,4.656250,0.362817,23200
1973-04-04,4.625000,4.625000,4.625000,4.625000,0.360381,78400
1973-04-05,4.609375,4.609375,4.609375,4.609375,0.359164,78400
1973-04-06,4.609375,4.609375,4.609375,4.609375,0.359164,36000
1973-04-09,4.609375,4.609375,4.609375,4.609375,0.359164,28000
1973-04-10,4.718750,4.718750,4.718750,4.718750,0.367686,88800
1973-04-11,4.750000,4.750000,4.750000,4.750000,0.370122,144000
1973-04-12,4.812500,4.812500,4.812500,4.812500,0.374992,140800
1973-04-13,4.812500,4.812500,4.812500,4.812500,0.374992,13600
1973-04-16,4.812500,4.812500,4.812500,4.812500,0.374992,40000
1973-04-17,4.687500,4.687500,4.687500,4.687500,0.365251,92800
1973-04-18,4.671875,4.671875,4.671875,4.671875,0.364034,25600
1973-04-19,4.687500,4.687500,4.687500,4.687500,0.365251,39200
1973-04-23,4.625000,4.625000,4.625000,4.625000,0.360381,48000
1973-04-24,4.593750,4.593750,4.593750,4.593750,0.357946,134400
1973-04-25,4.562500,4.562500,4.562500,4.562500,0.355512,59200
